Incident_ID,Incident_Type,Unit_Type,Priority,Weather_Index,Hour_of_Day,TurnoutTime_Seconds
1069,False Alarm,Chief,2,Clear,23,74
1070,Traffic Accident,Rescue Squad,3,Clear,16,103
1071,Medical,Rescue Squad,2,Clear,9,68
1072,Medical,Chief,1,Rain,1,54
1073,Wellness Check,Engine,1,Clear,2,52
1074,Traffic Accident,Rescue Squad,1,Clear,12,34
1075,Traffic Accident,Chief,1,Clear,16,64
1076,Traffic Accident,Engine,2,Clear,2,70
1077,Medical,Chief,1,Clear,9,57
1078,Medical,Chief,2,Clear,7,80
1079,Medical,Rescue Squad,2,Clear,3,49
1080,Wellness Check,Engine,2,Fog,12,77
1081,Traffic Accident,Rescue Squad,2,Clear,6,47
1082,Medical,Ambulance,2,Clear,6,52
1083,Medical,Ambulance,3,Clear,15,81
1084,Medical,Engine,1,Clear,4,69
1085,Medical,Chief,2,Clear,16,88
1086,Traffic Accident,Rescue Squad,2,Snow,9,122
1087,Traffic Accident,Rescue Squad,2,Snow,3,97
1088,Wellness Check,Engine,2,Clear,22,79
1089,Medical,Engine,2,Fog,13,89
1090,Medical,Ambulance,2,Clear,4,55
1091,Traffic Accident,Ladder,2,Rain,1,70
1092,Traffic Accident,Engine,3,Rain,13,91
1093,Structure Fire,Ladder,3,Rain,23,95
1094,Traffic Accident,Engine,2,Clear,17,93
1095,Medical,Chief,1,Clear,23,39
1096,Structure Fire,Chief,3,Clear,10,79
1097,Medical,Ambulance,3,Clear,15,104
1098,Medical,Ambulance,1,Clear,17,72
1099,Medical,Ladder,2,Clear,15,50
1100,Medical,Engine,3,Clear,20,86
1101,Traffic Accident,Rescue Squad,2,Rain,3,60
1102,Medical,Ambulance,1,Clear,0,43
1103,Structure Fire,Rescue Squad,2,Snow,13,87
1104,False Alarm,Rescue Squad,3,Clear,11,82
1105,Medical,Engine,3,Fog,23,95
1106,Medical,Ladder,2,Clear,9,100
1107,Traffic Accident,Engine,2,Clear,18,105
1108,Medical,Ambulance,1,Fog,3,30
1109,Medical,Rescue Squad,3,Clear,19,77
1110,Medical,Engine,1,Clear,20,59
1111,Medical,Engine,3,Clear,2,92
1112,False Alarm,Engine,2,Clear,3,63
1113,Wellness Check,Ambulance,3,Clear,14,74
1114,Traffic Accident,Ladder,1,Clear,10,46
1115,Wellness Check,Engine,2,Fog,15,79
1116,Wellness Check,Ambulance,1,Rain,3,30
1117,Medical,Rescue Squad,2,Clear,5,47
1118,Wellness Check,Chief,3,Snow,7,139
1119,Structure Fire,Ambulance,2,Clear,12,65
1120,Wellness Check,Chief,2,Clear,22,44
1121,Wellness Check,Engine,1,Clear,19,61
1122,Medical,Engine,3,Rain,3,91
1123,Medical,Ambulance,2,Clear,4,65
1124,Medical,Chief,2,Rain,9,83
1125,Medical,Engine,2,Clear,4,74
1126,Wellness Check,Rescue Squad,2,Storm,11,88
1127,Wellness Check,Ladder,2,Rain,0,74
1128,Medical,Ladder,2,Clear,23,72
1129,Structure Fire,Engine,2,Rain,9,85
1130,Medical,Chief,3,Clear,4,79
1131,Medical,Engine,3,Clear,18,117
1132,Medical,Chief,1,Clear,18,81
1133,Medical,Rescue Squad,2,Clear,19,79
1134,False Alarm,Chief,1,Snow,11,90
1135,Medical,Engine,1,Clear,22,58
1136,Structure Fire,Rescue Squad,2,Clear,15,72
1137,Traffic Accident,Ambulance,3,Clear,4,83
1138,Medical,Ladder,1,Clear,16,69
1139,False Alarm,Engine,2,Clear,13,62
1140,False Alarm,Engine,3,Rain,11,108
1141,Medical,Engine,3,Storm,12,106
1142,Medical,Rescue Squad,2,Clear,20,65
1143,Medical,Ambulance,2,Clear,13,50
1144,Medical,Chief,2,Clear,4,72
1145,Medical,Ambulance,1,Snow,21,62
1146,Traffic Accident,Rescue Squad,1,Clear,22,45
1147,Structure Fire,Engine,1,Clear,4,52
1148,Medical,Ladder,2,Rain,17,95
1149,Medical,Engine,3,Clear,13,91
1150,False Alarm,Chief,2,Clear,17,96
1151,Medical,Ladder,2,Rain,19,76
1152,Medical,Engine,2,Clear,0,72
1153,Medical,Ladder,1,Clear,6,61
1154,False Alarm,Ambulance,2,Clear,16,96
1155,Medical,Rescue Squad,3,Clear,2,76
1156,Traffic Accident,Engine,1,Clear,9,68
1157,Traffic Accident,Chief,1,Fog,6,60
1158,Medical,Ambulance,2,Clear,11,67
1159,Traffic Accident,Engine,2,Rain,21,74
1160,Medical,Ambulance,2,Clear,14,51
1161,Traffic Accident,Chief,2,Clear,22,42
1162,Traffic Accident,Engine,2,Clear,20,67
1163,Structure Fire,Chief,1,Clear,15,40
1164,Medical,Ladder,2,Clear,7,93
1165,Wellness Check,Chief,2,Clear,5,68
1166,Medical,Ladder,3,Clear,3,105
1167,Medical,Engine,3,Clear,10,101
1168,Medical,Ladder,3,Storm,16,133
1169,Structure Fire,Engine,2,Clear,1,75
1170,Traffic Accident,Engine,2,Clear,5,65
1171,Medical,Rescue Squad,2,Clear,3,41
1172,Structure Fire,Engine,3,Clear,2,89
1173,Medical,Ladder,1,Rain,6,67
1174,Traffic Accident,Rescue Squad,2,Clear,6,56
1175,Medical,Rescue Squad,2,Clear,15,68
1176,Traffic Accident,Engine,2,Clear,1,63
1177,Medical,Chief,1,Rain,7,75
1178,False Alarm,Chief,2,Clear,14,57
1179,Medical,Rescue Squad,2,Clear,15,75
1180,Medical,Engine,2,Clear,0,66
1181,Medical,Chief,2,Clear,9,81
1182,False Alarm,Engine,2,Clear,6,84
1183,Wellness Check,Engine,3,Fog,15,84
1184,Medical,Rescue Squad,2,Rain,9,81
1185,Traffic Accident,Rescue Squad,2,Clear,11,54
1186,Wellness Check,Ambulance,1,Clear,16,82
1187,Structure Fire,Chief,1,Clear,12,57
1188,Structure Fire,Chief,2,Clear,11,53
1189,Medical,Chief,2,Clear,14,65
1190,Medical,Ladder,2,Clear,13,76
1191,Wellness Check,Engine,1,Storm,18,98
1192,False Alarm,Rescue Squad,3,Clear,18,112
1193,Traffic Accident,Chief,2,Fog,13,75
1194,Medical,Ambulance,1,Clear,17,64
1195,Medical,Chief,2,Clear,4,72
1196,Traffic Accident,Engine,3,Clear,19,95
1197,Wellness Check,Engine,2,Rain,5,72
1198,Wellness Check,Rescue Squad,2,Clear,17,78
1199,Traffic Accident,Ladder,2,Snow,13,95
1200,Traffic Accident,Rescue Squad,1,Snow,3,81
1201,Medical,Chief,2,Rain,22,63
1202,Medical,Ambulance,1,Rain,0,64
1203,Wellness Check,Rescue Squad,2,Rain,12,53
1204,Traffic Accident,Ladder,1,Rain,10,38
1205,Medical,Rescue Squad,3,Clear,2,68
1206,Medical,Engine,2,Rain,16,108
1207,Traffic Accident,Chief,1,Fog,17,67
1208,Medical,Chief,2,Clear,9,94
1209,Medical,Chief,1,Fog,15,45
1210,Structure Fire,Chief,2,Clear,20,50
1211,Traffic Accident,Chief,2,Clear,12,80
1212,Traffic Accident,Chief,1,Clear,19,58
1213,Medical,Ambulance,1,Clear,11,43
1214,Traffic Accident,Ladder,2,Snow,3,120
1215,Medical,Chief,1,Fog,7,62
1216,Medical,Ladder,2,Rain,11,74
1217,Traffic Accident,Chief,2,Storm,18,139
1218,Traffic Accident,Rescue Squad,2,Clear,14,44
1219,Wellness Check,Chief,2,Clear,15,56
1220,Traffic Accident,Engine,2,Clear,11,70
1221,Structure Fire,Ambulance,3,Snow,19,125
1222,Medical,Rescue Squad,1,Clear,17,50
1223,Medical,Rescue Squad,1,Storm,21,89
1224,Medical,Engine,1,Rain,11,43
1225,Medical,Chief,1,Storm,15,63
1226,False Alarm,Ambulance,1,Clear,19,42
1227,Medical,Rescue Squad,2,Clear,10,78
1228,Wellness Check,Ambulance,2,Rain,21,85
1229,Traffic Accident,Rescue Squad,3,Rain,19,84
1230,Traffic Accident,Chief,1,Clear,13,42
1231,Structure Fire,Rescue Squad,2,Fog,1,61
1232,Structure Fire,Rescue Squad,3,Fog,12,83
1233,Medical,Ladder,3,Clear,13,104
1234,Medical,Chief,2,Clear,5,47
1235,Traffic Accident,Engine,2,Clear,11,81
1236,Medical,Engine,3,Clear,6,75
1237,Medical,Chief,2,Rain,3,55
1238,Traffic Accident,Engine,1,Clear,6,54
1239,Medical,Chief,3,Rain,12,84
1240,False Alarm,Engine,2,Rain,10,69
1241,False Alarm,Ladder,1,Clear,7,77
1242,False Alarm,Engine,2,Clear,18,87
1243,Medical,Rescue Squad,2,Clear,1,44
1244,Medical,Chief,3,Clear,20,85
1245,False Alarm,Ambulance,1,Clear,17,70
1246,Medical,Ambulance,3,Storm,20,134
1247,False Alarm,Chief,2,Clear,9,104
1248,False Alarm,Ladder,2,Clear,5,74
1249,Wellness Check,Engine,1,Clear,23,69
1250,Medical,Ladder,2,Clear,21,70
1251,Medical,Ambulance,3,Clear,3,65
1252,Wellness Check,Chief,2,Rain,18,90
1253,Medical,Chief,1,Clear,13,52
1254,Medical,Ladder,2,Storm,13,110
1255,Structure Fire,Ladder,2,Clear,17,85
1256,False Alarm,Engine,1,Fog,16,84
1257,Traffic Accident,Rescue Squad,2,Fog,17,84
1258,Structure Fire,Rescue Squad,2,Clear,17,92
1259,Medical,Engine,2,Clear,4,60
1260,Traffic Accident,Rescue Squad,2,Clear,8,72
1261,False Alarm,Ambulance,1,Rain,0,31
1262,Medical,Rescue Squad,2,Fog,3,82
1263,Structure Fire,Engine,2,Clear,6,70
1264,Wellness Check,Rescue Squad,2,Clear,10,72
1265,Traffic Accident,Chief,2,Snow,13,87
1266,Traffic Accident,Ladder,1,Storm,9,111
1267,Traffic Accident,Ambulance,3,Rain,18,108
1268,Medical,Chief,2,Fog,7,101
1269,Medical,Chief,2,Clear,2,53
1270,Wellness Check,Engine,2,Rain,7,82
1271,Wellness Check,Ladder,2,Rain,17,85
1272,Wellness Check,Ladder,1,Rain,4,53
1273,False Alarm,Ambulance,1,Clear,19,34
1274,Structure Fire,Engine,1,Clear,10,40
1275,Structure Fire,Ambulance,2,Clear,8,85
1276,Traffic Accident,Rescue Squad,1,Clear,18,75
1277,Traffic Accident,Chief,1,Clear,11,33
1278,Traffic Accident,Ambulance,2,Rain,4,53
1279,Traffic Accident,Chief,1,Clear,15,44
1280,Wellness Check,Engine,2,Clear,12,87
1281,Medical,Rescue Squad,2,Snow,5,69
1282,Medical,Engine,1,Fog,15,59
1283,Medical,Rescue Squad,2,Clear,17,95
1284,Structure Fire,Rescue Squad,1,Clear,16,64
1285,Medical,Chief,3,Fog,11,76
1286,Medical,Engine,2,Fog,0,73
1287,Structure Fire,Engine,1,Clear,6,54
1288,Medical,Ambulance,1,Clear,13,61
1289,Structure Fire,Engine,2,Clear,17,89
1290,Medical,Ambulance,1,Rain,22,53
1291,Medical,Ladder,1,Clear,0,59
1292,Wellness Check,Ladder,2,Clear,19,76
1293,Medical,Ladder,3,Clear,9,109
1294,Medical,Engine,2,Fog,14,72
1295,Structure Fire,Engine,2,Clear,10,69
1296,Traffic Accident,Ambulance,3,Clear,3,72
1297,Medical,Rescue Squad,1,Storm,14,77
1298,Traffic Accident,Ambulance,3,Clear,20,59
1299,Medical,Ladder,2,Clear,15,83
1300,Medical,Ambulance,2,Rain,14,37
1301,Structure Fire,Rescue Squad,3,Clear,16,102
1302,Structure Fire,Engine,1,Snow,22,106
1303,Traffic Accident,Ambulance,1,Clear,10,33
1304,Traffic Accident,Ladder,2,Clear,17,90
1305,False Alarm,Ladder,2,Fog,15,73
1306,Structure Fire,Engine,2,Clear,14,73
1307,Medical,Ambulance,1,Rain,10,41
1308,Traffic Accident,Rescue Squad,2,Clear,12,55
1309,Medical,Engine,2,Clear,17,82
1310,Medical,Ambulance,2,Snow,7,121
1311,Medical,Chief,3,Clear,8,108
1312,Medical,Ladder,2,Clear,21,65
1313,False Alarm,Rescue Squad,1,Clear,10,40
1314,Wellness Check,Rescue Squad,2,Clear,16,96
1315,Traffic Accident,Rescue Squad,2,Rain,0,58
1316,Medical,Ladder,1,Snow,10,102
1317,Medical,Ambulance,1,Rain,6,50
1318,Medical,Engine,3,Rain,7,106
1319,Medical,Ambulance,3,Clear,18,110
1320,Structure Fire,Engine,2,Clear,3,79
1321,Traffic Accident,Rescue Squad,1,Rain,3,54
1322,Traffic Accident,Ambulance,3,Clear,18,106
1323,Medical,Rescue Squad,3,Clear,23,59
1324,False Alarm,Chief,2,Fog,8,66
1325,Traffic Accident,Rescue Squad,3,Clear,16,101
1326,Structure Fire,Rescue Squad,3,Clear,17,91
1327,Traffic Accident,Engine,3,Clear,0,82
1328,Medical,Chief,3,Rain,13,88
1329,Medical,Rescue Squad,2,Clear,3,61
1330,Medical,Rescue Squad,2,Clear,9,88
1331,Traffic Accident,Chief,2,Storm,22,90
1332,Medical,Chief,2,Rain,13,55
1333,Medical,Ambulance,2,Snow,6,90
1334,Medical,Engine,3,Clear,11,103
1335,Medical,Chief,2,Clear,21,42
1336,Wellness Check,Chief,2,Clear,15,72
1337,Traffic Accident,Ladder,2,Clear,4,92
1338,Medical,Chief,2,Clear,10,72
1339,Medical,Engine,2,Clear,3,60
1340,Medical,Rescue Squad,1,Clear,12,40
1341,Medical,Rescue Squad,2,Rain,7,85
1342,Medical,Rescue Squad,1,Rain,6,42
1343,Medical,Rescue Squad,1,Clear,10,39
1344,Medical,Ladder,2,Clear,10,68
1345,Traffic Accident,Chief,1,Clear,16,63
1346,Traffic Accident,Rescue Squad,2,Clear,21,58
1347,Medical,Ambulance,1,Clear,13,32
1348,Medical,Rescue Squad,1,Clear,1,52
1349,Traffic Accident,Chief,2,Fog,19,51
1350,Structure Fire,Rescue Squad,2,Snow,20,84
1351,Wellness Check,Ladder,3,Rain,7,108
1352,Traffic Accident,Engine,2,Fog,21,73
1353,Medical,Engine,1,Rain,1,63
1354,Medical,Chief,2,Snow,20,92
1355,Traffic Accident,Engine,2,Clear,14,62
1356,Medical,Engine,2,Clear,4,64
1357,Structure Fire,Ambulance,3,Rain,5,103
1358,False Alarm,Chief,2,Clear,16,90
1359,Structure Fire,Chief,2,Rain,7,82
1360,Medical,Engine,2,Fog,18,89
1361,Traffic Accident,Engine,3,Rain,4,75
1362,Medical,Engine,2,Clear,22,81
1363,Structure Fire,Ladder,1,Clear,18,65
1364,False Alarm,Rescue Squad,2,Snow,13,103
1365,Medical,Ladder,2,Storm,9,139
1366,False Alarm,Chief,3,Clear,12,93
1367,False Alarm,Ambulance,2,Snow,21,91
1368,Medical,Rescue Squad,1,Fog,4,42
1369,Medical,Ambulance,3,Clear,6,80
1370,Medical,Chief,3,Snow,9,126
1371,Medical,Chief,1,Clear,10,42
1372,Medical,Ambulance,3,Clear,2,63
1373,Traffic Accident,Ambulance,2,Clear,12,38
1374,Medical,Ambulance,2,Rain,1,67
1375,Medical,Chief,3,Rain,3,78
1376,Wellness Check,Engine,2,Clear,2,79
1377,Medical,Ambulance,1,Fog,14,41
1378,Wellness Check,Rescue Squad,2,Snow,3,83
1379,Medical,Chief,2,Rain,22,69
1380,Medical,Ladder,1,Clear,20,70
1381,Traffic Accident,Ladder,2,Clear,3,66
1382,Traffic Accident,Rescue Squad,2,Clear,14,49
1383,Wellness Check,Engine,2,Fog,5,82
1384,Traffic Accident,Ambulance,2,Clear,22,57
1385,Wellness Check,Chief,3,Storm,4,104
1386,Medical,Ambulance,2,Snow,11,89
1387,Medical,Chief,2,Rain,6,52
1388,Traffic Accident,Ladder,1,Rain,2,62
1389,Wellness Check,Ambulance,2,Clear,6,46
1390,False Alarm,Rescue Squad,3,Rain,11,81
1391,Medical,Engine,2,Clear,14,72
1392,Medical,Rescue Squad,2,Snow,18,99
1393,Traffic Accident,Engine,2,Rain,5,85
1394,Medical,Ambulance,2,Rain,7,98
1395,False Alarm,Ambulance,1,Rain,5,40
1396,Wellness Check,Engine,3,Clear,2,88
1397,Medical,Ladder,1,Clear,4,63
1398,Traffic Accident,Chief,2,Snow,8,132
1399,Traffic Accident,Rescue Squad,2,Clear,23,74
1400,Medical,Rescue Squad,2,Clear,15,65
1401,False Alarm,Rescue Squad,1,Clear,21,47
1402,Structure Fire,Ambulance,2,Clear,15,62
1403,Wellness Check,Rescue Squad,1,Clear,8,95
1404,Medical,Chief,1,Snow,17,82
1405,Wellness Check,Chief,2,Rain,12,49
1406,Medical,Engine,2,Clear,10,67
1407,Medical,Ambulance,1,Fog,9,74
1408,False Alarm,Chief,1,Clear,9,38
1409,Medical,Ladder,3,Clear,5,70
1410,Medical,Ambulance,3,Rain,15,76
1411,False Alarm,Ambulance,1,Rain,11,66
1412,False Alarm,Chief,2,Clear,3,60
1413,Structure Fire,Ladder,2,Storm,4,91
1414,Traffic Accident,Engine,2,Fog,1,78
1415,Medical,Chief,3,Clear,18,114
1416,Medical,Ladder,1,Clear,0,48
1417,Medical,Ambulance,2,Snow,3,105
1418,Traffic Accident,Ladder,2,Clear,11,71
1419,Traffic Accident,Ambulance,2,Clear,1,65
1420,Traffic Accident,Chief,2,Rain,11,55
1421,Traffic Accident,Chief,3,Clear,15,86
1422,Medical,Rescue Squad,1,Clear,1,53
1423,Medical,Rescue Squad,1,Clear,16,78
1424,Medical,Rescue Squad,1,Rain,1,30
1425,Structure Fire,Chief,3,Clear,3,65
1426,Medical,Engine,2,Clear,5,63
1427,Wellness Check,Chief,2,Clear,22,62
1428,Medical,Ladder,1,Clear,6,60
1429,Medical,Chief,3,Fog,22,69
1430,Medical,Chief,3,Fog,14,83
1431,Traffic Accident,Ambulance,2,Clear,19,69
1432,Traffic Accident,Ambulance,2,Rain,11,66
1433,Medical,Ambulance,1,Rain,4,40
1434,Medical,Chief,2,Snow,13,95
1435,Traffic Accident,Engine,2,Clear,15,57
1436,Medical,Ladder,1,Clear,10,72
1437,Wellness Check,Ladder,2,Rain,11,74
1438,Traffic Accident,Engine,1,Clear,18,66
1439,Medical,Engine,2,Clear,16,100
1440,Medical,Ladder,2,Rain,23,76
1441,False Alarm,Rescue Squad,1,Storm,6,95
1442,Medical,Ambulance,2,Clear,8,74
1443,Medical,Ambulance,2,Rain,13,55
1444,Wellness Check,Ladder,1,Clear,19,46
1445,False Alarm,Engine,3,Fog,11,111
1446,False Alarm,Rescue Squad,1,Clear,14,39
1447,Traffic Accident,Ladder,2,Clear,11,60
1448,Medical,Ambulance,1,Clear,20,38
1449,Medical,Chief,1,Clear,20,41
1450,Traffic Accident,Engine,1,Clear,22,70
1451,Structure Fire,Chief,1,Clear,12,47
1452,Medical,Ladder,2,Rain,8,107
1453,False Alarm,Ambulance,1,Clear,23,47
1454,Medical,Rescue Squad,2,Rain,6,58
1455,Medical,Chief,1,Clear,0,34
1456,Medical,Rescue Squad,1,Rain,9,77
1457,Medical,Ambulance,2,Clear,5,69
1458,Medical,Chief,3,Clear,14,90
1459,Medical,Rescue Squad,2,Clear,14,69
1460,Medical,Rescue Squad,2,Clear,8,78
1461,Traffic Accident,Chief,1,Snow,12,91
1462,Traffic Accident,Ambulance,3,Rain,22,90
1463,Structure Fire,Rescue Squad,1,Clear,0,54
1464,False Alarm,Ladder,1,Clear,8,72
1465,Medical,Chief,2,Clear,2,79
1466,Medical,Engine,2,Clear,8,91
1467,Wellness Check,Engine,3,Rain,19,103
1468,Medical,Ambulance,1,Clear,14,47
1469,False Alarm,Ladder,3,Clear,23,86
1470,Medical,Rescue Squad,2,Clear,6,69
1471,False Alarm,Engine,2,Clear,3,77
1472,Medical,Ambulance,1,Clear,19,48
1473,Wellness Check,Ladder,1,Clear,16,63
1474,Structure Fire,Ladder,3,Clear,21,100
1475,False Alarm,Ambulance,2,Clear,3,52
1476,Medical,Ambulance,2,Clear,18,89
1477,Structure Fire,Rescue Squad,3,Rain,4,69
1478,False Alarm,Ambulance,1,Clear,15,36
1479,Structure Fire,Rescue Squad,2,Clear,2,62
1480,Traffic Accident,Rescue Squad,2,Clear,10,65
1481,Traffic Accident,Chief,1,Clear,21,47
1482,Medical,Ladder,1,Clear,14,49
1483,Traffic Accident,Ladder,2,Snow,18,135
1484,Structure Fire,Ladder,2,Fog,20,71
1485,False Alarm,Chief,2,Clear,23,61
1486,Medical,Rescue Squad,1,Snow,13,75
1487,Medical,Rescue Squad,3,Clear,15,72
1488,False Alarm,Ambulance,1,Clear,23,56
1489,Wellness Check,Chief,2,Storm,5,85
1490,Medical,Ambulance,2,Snow,4,114
1491,Traffic Accident,Chief,1,Storm,20,65
1492,Medical,Ambulance,1,Clear,16,68
1493,Medical,Engine,2,Clear,15,70
1494,Medical,Ladder,3,Clear,1,88
1495,Medical,Ladder,1,Rain,10,61
1496,Structure Fire,Rescue Squad,2,Clear,3,67
1497,Medical,Engine,2,Fog,5,75
1498,False Alarm,Ladder,1,Clear,6,44
1499,False Alarm,Rescue Squad,2,Clear,16,74
1500,Traffic Accident,Engine,3,Rain,7,104
1501,Structure Fire,Ladder,2,Rain,0,67
1502,Medical,Ambulance,3,Clear,14,101
1503,Wellness Check,Chief,1,Storm,19,64
1504,Traffic Accident,Engine,2,Clear,11,91
1505,Medical,Rescue Squad,2,Clear,14,59
1506,False Alarm,Engine,2,Fog,22,71
1507,Wellness Check,Rescue Squad,2,Storm,21,89
1508,False Alarm,Engine,1,Snow,14,77
1509,Traffic Accident,Rescue Squad,2,Fog,8,82
1510,Traffic Accident,Ladder,2,Rain,15,52
1511,Medical,Ambulance,1,Fog,1,36
1512,False Alarm,Ladder,3,Clear,14,73
1513,Wellness Check,Ambulance,2,Rain,14,67
1514,Medical,Ladder,2,Rain,6,56
1515,Medical,Ladder,1,Clear,20,69
1516,Medical,Engine,1,Clear,12,58
1517,Wellness Check,Chief,2,Clear,22,69
1518,False Alarm,Rescue Squad,2,Rain,16,72
1519,Medical,Rescue Squad,2,Clear,10,48
1520,Structure Fire,Rescue Squad,2,Snow,9,120
1521,Medical,Ambulance,1,Clear,0,55
1522,False Alarm,Rescue Squad,2,Clear,13,81
1523,Wellness Check,Rescue Squad,2,Fog,4,65
1524,Wellness Check,Engine,2,Clear,7,74
1525,Medical,Ladder,1,Clear,0,45
1526,Medical,Rescue Squad,1,Clear,6,30
1527,Medical,Chief,2,Rain,1,58
1528,Medical,Rescue Squad,1,Storm,6,76
1529,Wellness Check,Ambulance,1,Fog,6,43
1530,Wellness Check,Ambulance,1,Rain,8,54
1531,False Alarm,Ambulance,2,Clear,21,48
1532,False Alarm,Rescue Squad,2,Clear,3,60
1533,Structure Fire,Engine,2,Clear,22,74
1534,Traffic Accident,Chief,1,Clear,6,33
1535,False Alarm,Rescue Squad,2,Clear,19,64
1536,Wellness Check,Engine,1,Clear,17,87
1537,Medical,Engine,3,Rain,12,66
1538,Medical,Rescue Squad,2,Clear,10,75
1539,Medical,Rescue Squad,2,Rain,8,91
1540,False Alarm,Engine,1,Fog,13,64
1541,Traffic Accident,Engine,1,Rain,7,73
1542,Medical,Engine,2,Rain,20,77
1543,Traffic Accident,Rescue Squad,2,Rain,13,69
1544,Traffic Accident,Engine,1,Clear,20,48
1545,Medical,Ambulance,3,Clear,16,105
1546,Medical,Rescue Squad,3,Clear,13,78
1547,Traffic Accident,Ambulance,2,Clear,23,53
1548,Structure Fire,Ladder,3,Rain,4,88
1549,Traffic Accident,Rescue Squad,1,Fog,9,62
1550,Structure Fire,Ladder,1,Storm,5,87
1551,Wellness Check,Engine,1,Clear,9,67
1552,Structure Fire,Engine,2,Storm,10,98
1553,Structure Fire,Chief,1,Clear,23,50
1554,Wellness Check,Engine,3,Snow,5,114
1555,Medical,Ladder,1,Clear,9,62
1556,Medical,Engine,2,Clear,13,64
1557,Medical,Rescue Squad,3,Clear,19,71
1558,Traffic Accident,Engine,1,Fog,2,72
1559,Traffic Accident,Chief,1,Clear,6,46
1560,Traffic Accident,Engine,2,Clear,1,67
1561,Medical,Ladder,1,Fog,6,49
1562,Medical,Ladder,1,Fog,16,73
1563,Medical,Engine,1,Clear,12,62
1564,Medical,Ladder,2,Rain,20,51
1565,Structure Fire,Ladder,3,Clear,8,122
1566,Medical,Chief,3,Clear,12,74
1567,Medical,Rescue Squad,1,Clear,14,49
1568,False Alarm,Chief,2,Clear,12,67
1569,Medical,Ambulance,2,Clear,16,74
1570,Structure Fire,Chief,3,Clear,7,84
1571,Traffic Accident,Engine,1,Clear,8,76
1572,Medical,Rescue Squad,2,Rain,8,91
1573,Traffic Accident,Engine,2,Rain,7,100
1574,Wellness Check,Ambulance,3,Clear,15,76
1575,False Alarm,Rescue Squad,1,Clear,19,38
1576,Medical,Ladder,1,Rain,6,49
